新領域創成科学研究科,専攻名,研究室名,教員名,説明,研究室HP,キーワード,引用元HP
新領域創成科学研究科,物質系専攻,木村（薫）研究室ナノスペース機能学,木村 薫 教授,"■13 族元素の不思議な化学　BとAlは、正二十面体クラスターを形成する珍しい元素です。これらのクラスターが、固体中では中心原子の有無で共有結合性と金属結合性を切り替えることや、静電浮遊装置を用いて液体ホウ素が半導体であることを発見しました。さらに、新規クラスター分子の合成と分子軌道計算による物性予測、新規クラスター構造超伝導体の探索に取り組んでいます。■準結晶の神秘　「準結晶」とは、5 回対称のペンロース格子などのように、周期性（並進対称性）を持たない特殊な構造の物質群です。本研究室では、BやAl などの正二十面体クラスターを含む新規3次元準結晶と、その類縁物質（近似結晶）の物性について研究し、半導体的な電気伝導を示す準結晶の発見とその応用を目指しています。■新規熱電材料の探索　熱電材料とは、熱と電気を相互に変換し、冷却や発電に利用できる材料です。熱電特性はキャリア濃度や不純物、微細組織で劇的に変わるため、どれが有望な物質なのかわかりにくいという問題があります。 本研究室では準結晶や不整合化合物など多様な物質群の熱電特性をバンド計算と系統的な実験から調べ、RuGa2, FeGeγなどの新規熱電材料の発見に成功しました。さらに学融合の一環として、情報科学研究者と協力して過去の文献上の実験データのビッグデータ化に取り組み、機械学習による材料開発の加速を目指しています。",http://www.phys.mm.t.u-tokyo.ac.jp/,"13 族元素,正二十面体クラスター,共有結合性,金属結合性,静電浮遊装置,液体ホウ素,分子軌道計算,新規クラスター構造超伝導体,超伝導体,準結晶,5 回対称のペンロース格子,並進対称性,3次元準結晶,熱電特性,近似結晶,微細組織,バンド計算,RuGa2, FeGeγ,ビッグデータ,",http://www.phys.mm.t.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,寺嶋 和夫 教授・伊藤 剛仁 准教授 研究室 プロセス物性科学,寺嶋 和夫 教授・伊藤 剛仁 准教授 ,本研究室では、複雑系プラズマ材料科学の創成を目指し、凝縮相との非平衡な相互作用の理解と制御に主眼を置いて研究を進めています。 例えば、超臨界流体や溶液雰囲気におけるプラズマ誘起ナノダイヤモンド合成等、従来の室温低圧雰囲気とは異なる“①流体とプラズマ ”の相互作用を用いた研究や、極低温のプラズマであるクライオプラズマを用いることで実現される氷やドライアイスといった“②低温固相とプラズマ ”との特殊界面を用いた研究、電界・光・熱による電子放出等の機能を備えた“③アクティブ固相とプラズマ ”に関わる研究等を展開しています。 更に、“④外場とプラズマ”の相互作用の利用による、マテリアルとしての機能を備えたマテリアルプラズマの創成にも取り組んでいます。,http://www.plasma.k.u-tokyo.ac.jp/,"複雑系プラズマ材料科学,凝縮相,非平衡,超臨界流体,溶液雰囲気,プラズマ誘起ナノダイヤモンド合成,流体,プラズマ,クライオプラズマ,低温固相とプラズマ ,アクティブ固相とプラズマ,外場とプラズマ,超高速エピタキシャル,成膜プラズマビーム,カーボンナノチューブ,ナノフォーレスト

",http://www.plasma.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,御手洗 容子 教授・松永 哲也 講師 研究室 耐熱材料設計学,御手洗 容子 教授・松永 哲也 講師 ,航空機ジェットエンジンに使われているTi合金や、新規材料として可能性を秘めた高温形状記憶合金・ハイエントロピー合金について高温での力学特性発現機構を明らかにし、新しい材料を創製していきます。鍛造や、最近注目されている３次元積層造形などのプロセスにも着目し、プロセスを駆使した組織制御とそこから優れた力学特性を最大限に引き出すことにより、耐熱材料の可能性について探求します。,http://webpark2173.sakura.ne.jp/index.html,"航空機,ジェットエンジン,Ti合金,高温形状記憶合金,ハイエントロピー合金,力学特性,鍛造,３次元積層造形,耐熱材料,クリープ寿命,形状記憶合金,マルテンサイト双晶組織,疲労特性,クリープ試験,材料,チタン,合金設計",http://webpark2173.sakura.ne.jp/index.html
新領域創成科学研究科,物質系専攻,佐々木 裕次 教授 研究室 多次元画像科学,佐々木 裕次 教授,私達の研究室では、１分子という極めて小さな空間における運動情報をミリ秒以下の速度で計測できる方法論の研究開発を進めてきました。現在、放射光や電子線などAレベルの超短波長高エネルギープローブを利用して、全く新しい方法論の提案や、その方法を実現するための先端技術の構築に取りかかっています。,http://sasakilab.k.u-tokyo.ac.jp/,"短波長高エネルギープローブ,x線1分子計測法,生体分子,ナノ無機構造体,解析スポット,DNA1分子高精度運動観察,運動計測,フィラメント分子の2方向運動計測,1分子抗原抗体反応,DXT,Diffracted X-ray Tracking,金ナノ結晶,",http://sasakilab.k.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,前田研究室ナノバイオ科学,前田 瑞夫 教授,当研究室では、工学とバイオの新たな融合領域を開拓することを目的として研究を進めている。 高分子化学、分析化学、生化学、分子生物学などの学術領域を基礎に、 バイオ成分を融合した新物質・新材料の創製、 バイオ計測の新原理・新手法の開発、 ならびに生命プロセスの人工的制御に関する研究を行い、バイオ材料学、 環境科学、 マイクロ・ナノサイエンス、生命科学、医用工学、その他の分野への応用を展開していく。 一例としてDNA機能材料に関する研究があり、独自に開発したDNA・合成高分子複合体を、 DNAバイオセンサ、アフィニティー電気泳動、SNPs応答性ナノ粒子、遺伝子応答性ハイドロゲル、 人工的遺伝子機能制御などへ展開することにより、DNA工学　という新しい境界領域を開拓しつつある。,http://www2.riken.jp/lab/bioengineering/index.htm," ナノ領域,バイオ分子,タンパク質,核酸,DNA融合ナノ粒子,精密遺伝子診断,マイクロチップ遺伝子診断, 高分子化学,分析化学,生化学,分子生物学,バイオ計測,DNAバイオセンサ,アフィニティー電気泳動,SNPs応答性ナノ粒子,遺伝子応答性ハイドロゲル, 人工的遺伝子機能制御,DNA工学,バイオマテリアル",http://www2.riken.jp/lab/bioengineering/index.htm
新領域創成科学研究科,物質系専攻,森 初果 教授 研究室 凝縮系物性,森  初果 教授 ,有機分子の面白さは、それぞれの分子が唯一の個性を持つことです。その分子が集積して、規則正しく並ぶ結晶や、また薄膜となった時、分子の個性の加算だけでなく、分子間の相互作用や界面の効果も加わり、質的に異なるエキゾチックな特性・機能が出現します。森研究室では、このような「分子性物質・システムならではの機能」の開発を目指して、分子性機能物質（超伝導体、強磁性体、強誘電体、超プロトン伝導体）や有機エレクトロニクス（トランジスタ、発光物質）の物質・システム開発と、物性・機能性研究を行っています。,https://hmori.issp.u-tokyo.ac.jp/,"有機分子,分子性物質,超伝導体,強磁性体,強誘電体,超プロトン伝導体,有機エレクトロニクス,トランジスタ,発光物質,圧力誘起有機超伝導体,チェッカーボード型電荷秩序,プロトン伝導体,",https://hmori.issp.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,山下 穣 准教授 研究室 凝縮系物性,山下  穣 准教授,絶対零度近くまで冷却すると何が起こるか？絶対零度ではあらゆるものは凍りつくわけだから、普通に考えると何も面白いことは起こらないように思う。ところが、1911年、オランダのカマリンオンネスは、ヘリウムの液化に成功することで１ケルビンという低温領域に人類で初めて到達し、そこで金属の電気抵抗が突然０になるという超伝導現象を発見した。その後、液体ヘリウムの超流動転移、希薄アルカリ気体のボース凝縮など様々な量子凝縮相が極低温で発見された。 室温では熱揺らぎに隠れてしまって見えない、多彩で不思議な物理現象が低温領域に隠れていたわけである。我々の研究室ではこのような極低温における量子凝縮現象に興味を持ち、技術的に可能な限り低温まで精密測定する事でその物性を明らかにする研究を行っている。 特に、二次元三角格子やカゴメ格子といった幾何学的フラストレーションをもつ磁性体において近年新しく発見された量子スピン液体状態は新しい量子凝縮相となっている可能性があり、その極低温における素励起の解明に力を入れて研究を進めている。,https://yamashita.issp.u-tokyo.ac.jp/,"量子現象,極低温,量子凝縮現象,強相関電子系研究,強相関系物質,量子臨界現象,超伝導状態,非荷電励起,熱ホール効果,NMR,多極子秩序,冷凍機,液体ヘリウム,超流動転移,希薄アルカリ気体,二次元三角格子,カゴメ格子,量子スピン液体状態,核断熱消磁冷凍機,Cd カペラサイト石,反強磁性カゴメ絶縁体",https://yamashita.issp.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,廣井 善二 教授 研究室 新物質科学,廣井 善二 教授 ,高温超伝導の発見とその後15年を越える研究の流れは、新物質の発見が如何に物性物理学に大きなインパクトを与えるかを如実に示しました。その波紋は超伝導研究のみならず、強相関電子系一般における局在－非局在の概念の確立や磁性と伝導性の興味深い相関の研究へと大きな拡がりを見せています。われわれが目指すのは新物質探索を通して未知の物理現象を見出し、物性物理学の新しい方向を切り開くことです。さらに一歩進んで新しい機能や特性を有する「役に立つもの」を世に送り出したいと日夜研究に励んでいます。,https://hiroi.issp.u-tokyo.ac.jp/saito/Hiroi_Lab.html,"高温超伝導,強相関電子系,物性物理学,新超伝導体,遷移金属化合物,",https://hiroi.issp.u-tokyo.ac.jp/saito/Hiroi_Lab.html
新領域創成科学研究科,物質系専攻,中辻研究室量子物性,中辻 知 教授,物理学のフロンティアは、新しい物理現象の発見にあります。なかでも、現代の電子・情報社会を支える材料としての無機物質から、物質中の1023個もの電子が相互作用して創りだすマクロな量子現象が続々と発見されており 物理と化学を駆使した新物質の開発こそが新しい量子現象を目指す物性物理の醍醐味であると言えます。 私達は、特に遷移金属化合物や、重い電子系と呼ばれる金属間化合物の新物質開発に取り組み、量子現象として、スピン・軌道の秩序と隣接する新しいタイプの金属状態・超伝導状態、従来型のスピン秩序を抑えることで期待される、磁性半導体での新しい量子スピン液体状態などに注目して研究を進めています。 さらに、私達の研究室は、物質の化学合成のみならず、こうした新しい物理現象の発見を目指し、物理測定にも力を入れています。多様な合成法を用いて化合物の単結晶を自ら育成すると共に、室温から、量子効果が重要となる極低温まで様々な物性測定を行っています。 現在の主な研究テーマは （1）量子相転移近傍でのエキゾティック超伝導、（2）金属磁性体でのベリー位相による巨視的量子効果と不揮発性メモリ、（3）2次元磁性半導体での量子スピン軌道液体などがあります。,https://www.nakatsuji-lab.phys.s.u-tokyo.ac.jp/,"無機物質,量子現象,遷移金属化合物,金属間化合物,スピン,軌道,超伝導,磁性半導体,量子スピン液体状態,単結晶,量子相転移近傍,エキゾティック超伝導,ベリー位相,巨視的量子効果,不揮発性メモリ2次元磁性半導体,フラックス法",https://www.nakatsuji-lab.phys.s.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,三輪 真嗣 准教授 研究室 量子物質,三輪 真嗣 准教授 ,物理学研究の面白さのひとつに新物質・材料創成があります。私たちは半導体工学の超高真空薄膜成長技術を金属や絶縁体・有機分子に拡張し、高品質かつ特徴的なナノ構造を有する新物質・材料薄膜を作製します。 特にナノの世界では電子の自転角運動量に相当する「スピン」の性質が顕著に現れることに着目し、金属多層膜・有機分子超薄膜・トポロジカル量子物質を組み合わせて様々な量子スピントロニクス現象を示す新物質・材料薄膜デバイスを創成します。 新たな物性（物の性質）を見つけ、電子デバイス材料として機能化し、応用に供することが研究目的です。,https://miwa.issp.u-tokyo.ac.jp/index.html,"新物質,材料創成,半導体,超高真空薄膜成長技術,有機分子,ナノ構造,スピン,金属多層膜,有機分子超薄膜,トポロジカル量子物質,量子スピントロニクス現象,電子デバイス材料,Fe,Pt,Pd,材料薄膜,次世代不揮発性メモリ,放射光X線分光研究",https://miwa.issp.u-tokyo.ac.jp/index.html
新領域創成科学研究科,物質系専攻,吉信 淳 教授 研究室 機能物性,吉信  淳 教授 ,表面や界面における原子・分子のダイナミックな過程（振動、拡散、エネルギー散逸、反応など）を、遠赤外領域（数meV）から内殻領域（数100eV）にまたがる各種の表面分光（光電子分光、HREELS、赤外反射吸収分光など）や局所プローブ顕微鏡（STM、AFM）を駆使して実験的に研究しています。また、表面反応を自在に制御して原子スケールでよく規定された表面新物質を構築し、新たな低次元物性・ナノ物性を探索しています。 分子エレクトロニクスにつながる基礎研究からモデル触媒の反応まで、新奇な表面物性・反応の発見やメカニズムの解明をめざしています。,https://yoshinobu.issp.u-tokyo.ac.jp/,"振動,拡散,エネルギー散逸,反応,光電子分光,HREELS,赤外反射吸収分光,局所プローブ顕微鏡,STM,AFM,表面新物質,低次元物性,ナノ物性,ダウンダイマー原子,トリメチルアミン分子,不均一触媒反応,表面反応ダイナミクス，キネティクスパラメータの決定,量子ドット，量子細線，原子層，超薄膜,原子分子観察と操作，単分子デバイスの基礎,光触媒，太陽電池の基礎",https://yoshinobu.issp.u-tokyo.ac.jp/
新領域創成科学研究科,物質系専攻,井上 圭一 准教授 研究室 昨日物性,井上 圭一 准教授 ,多くの生物はエネルギーを作ったり、外界の情報を得るために、光を利用し自身の生存に役立てています。その中で中心的な役割を果たすのが、多様な光受容タンパク質です。 私たちは特に微生物が持つ光受容型の膜タンパク質である微生物型ロドプシンに着目し、先端的分光法を用いてその機能メカニズムの解明を目指しています。またその知見をもとに近年注目される光遺伝学などへの応用に向けた新規分子ツール開発に取り組んでいます。,https://inoue.issp.u-tokyo.ac.jp/index.html,"光受容タンパク質,微生物型ロドプシン,光遺伝学,光駆動型水素イオン,ナトリウムイオンポンプ,レチナール",https://inoue.issp.u-tokyo.ac.jp/index.html
新領域創成科学研究科,物質系専攻,大谷 義近 教授 研究室ナノスケール物性,大谷 義近 教授 ,電荷・スピン・フォノン・フォトン・マグノン等の準粒子が、固体中のスピンを媒介として、相互に変換される『スピン変換』は固体物理の一分野として発展を遂げています。当研究室では基礎的なスピン変換の観点から、スピンの関わる新物性の開拓と発現機構の解明に取り組んでいます。以下に研究室で行っている最近の研究の一部を紹介します。汎用性の高い強磁性体に比べると、これまで日の目を見なかった反強磁性体が一躍注目を集め、反強磁性スピントロニクスとして新しい展開を見せています。本研究では、収束イオンビーム装置を用いることで、図1に示すように、単結晶から切り出したミクロンサイズの機能性反強磁性体Mn3Sn薄体を用いてスピン蓄積を測定するための素子を作製しました。このMn3Sn薄体に電流を流すことで素子表面近傍に生じるスピン蓄積を、強磁性体電極を用いることで電気的に検出することに成功しました。この実験により、スピン蓄積の方向がMn3Sn中のスピンの配列に依存する、『磁気スピンホール効果』を初めて実験的に実証しました。磁気スピンホール効果によって生じたスピン蓄積を用いることで、隣接させた磁性体の磁化を高効率に反転することができるため、応用の面からも注目されている現象です。生成されます。スピン流はCu/Bi2O3界面に注入され、界面で起こるスピン流-電流変換効果により電流へと変換されて電気的に検出されます。この実験は、準粒子が結合する『強結合スピントロニクス』を目指した研究の一例で、新しい準粒子を生成する基礎的な面白さだけでなく、エネルギーハーベスティングへの応用も期待されています。更に結合強度を増強する素子構造を設計して変換効率の向上を目指し研究を進めています。また、マグノン（スピン波）やフォノン（格子振動）などの準粒子間の変換で要となる準粒子結合状態の実現もスピントロニクスの重要テーマです。図（2）左のように、基板上に作製した一組の 型電極に高周波電圧を印可することで、表面弾性波を発生することができます。さらに、表面弾性波による格子振動は強磁性体の磁気的な共鳴状態を励起し、図（2）右に示すようにスピン流が生成されます。スピン流はCu/Bi2O3界面に注入され、界面で起こるスピン流-電流変換効果により電流へと変換されて電気的に検出されます。この実験は、準粒子が結合する『強結合スピントロニクス』を目指した研究の一例で、新しい準粒子を生成する基礎的な面白さだけでなく、エネルギーハーベスティングへの応用も期待されています。更に結合強度を増強する素子構造を設計して変換効率の向上を目指し研究を進めています。,https://www2.riken.jp/lab/nanomag/indexjpn.html,"電荷,スピン,フォノン,フォトン,マグノン,スピン変換,反強磁性体,反強磁性スピントロニクス,収束イオンビーム,機能性反強磁性体,Mn3Sn薄体,磁気スピンホール効果,強結合スピントロニクス,エネルギーハーベスティング,スピン流,ノンコリニア反強磁性体,",https://www2.riken.jp/lab/nanomag/indexjpn.html
新領域創成科学研究科,物質系専攻,ミック・リップマー 教授 研究室ナノスケール物性,ミック・リップマー 教授 ,遷移金属酸化物薄膜の成長と物性についての研究を行っている。高品質な酸化物薄膜とそのヘテロ構造を作製するためにパルスレーザー堆積法を用いている。バルク単結晶ではみられない、薄膜に固有な構造および現象を探求することを目的として、酸化物の表面構造とヘテロ界面の形成・解析を行っている。,https://lippmaa.issp.u-tokyo.ac.jp/,"遷移金属酸化物薄膜,酸化物薄膜,ヘテロ構造,パルスレーザー堆積法,バルク単結晶,イオン後方散乱強度",https://lippmaa.issp.u-tokyo.ac.jp/
